name,ori_price,disc_price,disc,region,platforms,review,img,link
Mafia: Trilogy Steam Key GLOBAL,"Rp 1.162.675,50","Rp 142.424,73",-88%,Global,Steam,8211,https://imgproxy.eneba.games/yZuLnsnm3O7ZtenFI40Pjopb7ZY35ZkDmEU7g1T95lo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy93/RWJnYUZJZVFwYnAt/NWFIZXVDdE1XSjM0/LXdlTmtpQlEwX2Vs/ODZyUXQ0LmpwZWc,/id-id/steam-mafia-trilogy-steam-key-global
Call of Duty: Modern Warfare 2 Campaign Remastered XBOX LIVE Key GLOBAL,"Rp 116.188,60",,,Global,Xbox Live,6067,https://imgproxy.eneba.games/y4aEWpZrIZJvN-gE-llMXf8dSnfCI7Y04UtY5p5-szE/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9j/SEtnaExMbGplZ01q/c005V0tVYTN6U0hn/NVdZV19VUldNbS1R/a3R3N1AwLmpwZWc,/id-id/xbox-call-of-duty-modern-warfare-2-campaign-remastered-xbox-live-key-global
Dying Light Essentials Edition Steam (PC) Key GLOBAL,"Rp 54.839,44",,,Global,Steam,2223,https://imgproxy.eneba.games/oKnAUWVZcIESNKFp1FsiTSI0WdVUFYxvO1azoLmAZQY/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9q/WGo4eUdkNnpfdjNF/VWZGbks2MjJhc1M1/bzZsVnJrSVNEa3hw/UWxsS3ZZLmpwZw,/id-id/steam-dying-light-essentials-edition-steam-pc-key-global
Sekiro: Shadows Die Twice (Xbox One) Xbox Live Key GLOBAL,"Rp 187.203,70",,,Global,Xbox Live,4219,https://imgproxy.eneba.games/_lRoxGevg4UbKM045qhAdkVcjQq04S2j0xGfY1pEjPk/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9y/ZnFRaEd3cTJkWTR5/UVJRTTBYZFEzTTBS/RjA2R1JfTU5rX3Bs/V0UzN1pJLmpwZWc,/id-id/steam-sekiro-shadows-die-twice-xbox-one-xbox-live-key-global
LEGO Star Wars: The Skywalker Saga - Deluxe Edition (PC) Steam Key GLOBAL,"Rp 97.645,77",,,Global,Steam,3047,https://imgproxy.eneba.games/ScTnx_Vtt_HIn01rw7s_40lqiPbNK3n6qDzeAjeb2T8/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9L/RGhpOG5sd1BIR3Jx/U2d5WmF2Q1VZN191/bnBGZUNlWW1SaGdr/ZUNYRnJ3LmpwZWc,/id-id/steam-lego-star-wars-the-skywalker-saga-deluxe-edition-pc-steam-key-global
Hollow Knight Steam Key GLOBAL,"Rp 145.778,23",,,Global,Steam,13801,https://imgproxy.eneba.games/AbaLDIifgZoTv5QFDMc0pU5a7emTcOicKEiN98yIrz0/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9x/N2ktbXNpS0p3OEE3/M0llTEt0WXV3cHIw/aWx3NjJOV1NWUUlG/RDBHYkIwLmpwZWc,/id-id/steam-hollow-knight-steam-key-global
Little Nightmares II Deluxe Edition (PC) Steam Key GLOBAL,"Rp 93.108,69",,,Global,Steam,6718,https://imgproxy.eneba.games/2FcytrXmqdPJOuQRPmksS8alixhaTmX69LarNtOF76I/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9X/QjhBd0xic3pGVUNs/Y0g0Y1JHVG95eFdo/T2s3SEV2MmZyZXBH/OG1YV1kwLmpwZWc,/id-id/steam-little-nightmares-ii-deluxe-edition-pc-steam-key-global
Little Nightmares (Complete Edition) Steam Key GLOBAL,"Rp 394.673,72","Rp 89.557,94",-77%,Global,Steam,5771,https://imgproxy.eneba.games/JGCv4NaAgvK_T9LV-zCBdwdgZL-TpDMOnN7dkOPsV1c/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9o/bHVwNXNxendlazdq/Y2o3a3N6Yy5qcGc,/id-id/steam-little-nightmares-complete-edition-steam-key-global
Lies of P Steam Key (PC) GLOBAL,"Rp 870.000,00","Rp 353.497,40",-59%,Global,Steam,12773,https://imgproxy.eneba.games/otyu4QE_uHdLeeoze0DJ6lCfDw8c4Y2ZfaWoQdI-KMQ/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9X/bXJNS28yMno0MUVp/ZkhqSkNNSGxwM0cx/cGgzVDlHWFNGNzBX/ZGVjaDRJLnBuZw,/id-id/steam-lies-of-p-pc-steam-key-global
Devil May Cry V Deluxe Edition + Playable Character: Vergil DLC (PC) Steam Key GLOBAL,"Rp 775.052,39","Rp 159.981,25",-79%,Global,Steam,5426,https://imgproxy.eneba.games/OveZDmDNPDJ6dCrpywjTwOsQJV4HRvO4_pX9nuInbNs/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy85/T0RXeGo5RjI5T0x1/UU1BZF9YUDNoTTdQ/aE1CVUVMWDJoRDMz/XzhwZF93LmpwZWc,/id-id/steam-devil-may-cry-v-deluxe-edition-playable-character-vergil-dlc-pc-steam-key-global
Minecraft: Deluxe Collection XBOX LIVE Key GLOBAL,"Rp 317.398,06",,,Global,Xbox Live,2053,https://imgproxy.eneba.games/eMg2j0SPUCZ37b_P0DqLu7K9upHzph3-HaazeYwzaxs/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy82/U3llY2wxMTJWR3E5/N1ZMLVhKcTJZY0VH/SFNsUFRKVXBCX0o1/VzJsdndBLmpwZw,/id-id/xbox-minecraft-deluxe-collection-xbox-live-key-global
SteamWorld Build (PC) Steam Key GLOBAL,"Rp 140.000,00","Rp 11.638,59",-92%,Global,Steam,401,https://imgproxy.eneba.games/5dxC1wFj5kC_iWz9MHLdlhAqcUTlu11Xd1gij6pAInI/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9z/NTJYSmlQODkyME9D/R2hJWHNHLUtjeFZw/cXpyTE9mMl80RUNu/UXY4WXRZLmpwZw,/id-id/steam-steamworld-build-pc-steam-key-global
Persona 5 Strikers Steam Key GLOBAL,"Rp 769.000,00","Rp 94.686,80",-88%,Global,Steam,6390,https://imgproxy.eneba.games/uehv8cvKr6CJjWHFQYRStyn0C8Ujzyc9VueM5_GD62A/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9x/T1BrSjV2ZVZfalNM/SGE3N3kwdHBkMk03/SGd6ekZBYzNDTmxm/d1JQbU1FLmpwZWc,/id-id/steam-persona-5-strikers-steam-key-global
Forza Horizon 4 XBOX LIVE Key GLOBAL,"Rp 1.189.650,08","Rp 351.327,50",-70%,Global,Xbox Live,9476,https://imgproxy.eneba.games/aqus20N-jeJAiYff5VaPFlnlPKbENRCWJPcl0EAl0K0/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9Y/b2lta3JCbkdzSjhq/cVQyRVlEc1kwU2tN/aVhxeDFKcmExSGc5/Wm1nT0tRLmpwZWc,/id-id/xbox-forza-horizon-4-xbox-live-key-global
Death Stranding Director's Cut (PC) Steam Key ROW,"Rp 539.999,00","Rp 139.071,24",-74%,Global,Steam,3561,https://imgproxy.eneba.games/4fiVFdBo4w7CyaEQsYq1zIdQB1XwNSs5vfNv8TZA9Jk/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9t/ZzhKVTlwbzV1Y2lG/Z3B2X0MzRTQ2cU9U/ZkEydUw2VGl0TGNf/UV8zTVJBLmpwZWc,/id-id/steam-death-stranding-directors-cut-pc-steam-key-row
Kingdom Come: Deliverance Royal Edition XBOX LIVE Key GLOBAL,"Rp 137.098,60",,,Global,Xbox Live,645,https://imgproxy.eneba.games/YxerC3lbY3MF6xPmumAwFyC-R2xgzvjPVn-__JR_FE8/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9S/TllNM3k2bjFhc0VQ/WmZfQjJSODVTQmxj/QVFIU1ByY1ZMUnBR/bGl3a0FvLnBuZw,/id-id/xbox-kingdom-come-deliverance-royal-edition-xbox-live-key-global
Resident Evil 3 (Xbox One) Xbox Live Key GLOBAL,"Rp 164.912,85",,,Global,Xbox Live,2194,https://imgproxy.eneba.games/qAO0N4x8spJww63obvsvyKwHK6s5BahlgMHQvCkuf_c/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy91/RTc4RnJKb0diaUE4/cWNSLW1XYUtmamg2/SV9VUWNKMVFtMG02/cTJsNDV3LmpwZWc,/id-id/xbox-resident-evil-3-xbox-one-xbox-live-key-global
Unity of Command II (PC) Steam Key GLOBAL,"Rp 245.999,00","Rp 52.287,54",-79%,Global,Steam,176,https://imgproxy.eneba.games/uCC2NOOw5t3CYE9vjK26g4o0tCUXnApnpuFqa8O_hw8/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy82/NmxHVVlldGpBLTRW/NldxR0t6TFNTMjBy/Zl9tU0NxMzhET091/czlNcHY4LnBuZw,/id-id/steam-unity-of-command-ii-pc-steam-key-global
Tinykin (PC) Steam Key GLOBAL,"Rp 206.999,00","Rp 28.603,31",-86%,Global,Steam,1604,https://imgproxy.eneba.games/dQ7IrZnFt58vogIQs_sUhNfXa6KmUlZ73-_0-xPj5Vo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy8z/V013bTd3Qjk5RTI4/U3lZWkZxSWxxd0x1/aGlnUDI4U3lDbHI3/VVVwSkFFLmpwZw,/id-id/steam-tinykin-pc-steam-key-global
